Timestamp,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
1690920742.63132,0.06,0.0,0.09,0.01,0.2,0.05,0.59
1690920742.959322,0.14,0.0,0.06,0.02,0.16,0.07,0.55
1690920743.275323,0.06,0.0,0.02,0.01,0.08,0.01,0.83
1690920743.595325,0.16,0.0,0.04,0.01,0.16,0.02,0.61
1690920743.855329,0.05,0.01,0.04,0.02,0.16,0.03,0.68
1690920744.164331,0.13,0.0,0.04,0.02,0.15,0.03,0.64
1690920744.455331,0.17,0.0,0.05,0.02,0.18,0.04,0.55
1690920744.901091,0.1,0.0,0.03,0.02,0.17,0.02,0.65
1690920745.352902,0.04,0.0,0.03,0.04,0.13,0.01,0.74
1690920745.696905,0.07,0.01,0.05,0.01,0.14,0.03,0.68
1690920746.005907,0.11,0.01,0.05,0.01,0.16,0.01,0.65
1690920746.387033,0.1,0.0,0.04,0.01,0.19,0.01,0.65
1690920746.836033,0.14,0.0,0.03,0.01,0.11,0.02,0.7
1690920747.179036,0.07,0.0,0.03,0.03,0.23,0.01,0.62
1690920747.489042,0.13,0.01,0.05,0.01,0.25,0.03,0.51
1690920747.933042,0.13,0.0,0.07,0.01,0.18,0.02,0.59
1690920748.207043,0.09,0.0,0.05,0.01,0.3,0.04,0.5
1690920748.499044,0.12,0.01,0.06,0.03,0.22,0.04,0.52
1690920748.797047,0.1,0.01,0.03,0.03,0.32,0.02,0.49
1690920749.10705,0.07,0.0,0.05,0.03,0.28,0.05,0.52
1690920749.393051,0.05,0.0,0.03,0.03,0.23,0.02,0.64
1690920749.686056,0.12,0.0,0.05,0.02,0.29,0.03,0.49
1690920749.964054,0.07,0.0,0.05,0.0,0.29,0.02,0.58
1690920750.26206,0.16,0.0,0.08,0.02,0.29,0.04,0.4
1690920750.565063,0.05,0.0,0.04,0.01,0.45,0.03,0.42
1690920750.857104,0.19,0.0,0.04,0.0,0.32,0.02,0.42
1690920751.145109,0.09,0.0,0.05,0.01,0.21,0.03,0.61
1690920751.440108,0.09,0.01,0.08,0.02,0.31,0.07,0.41
1690920751.731111,0.05,0.0,0.05,0.01,0.29,0.03,0.57
1690920752.032117,0.15,0.0,0.05,0.01,0.21,0.05,0.53
1690920752.326115,0.18,0.0,0.06,0.01,0.22,0.03,0.5
1690920752.62912,0.09,0.01,0.06,0.02,0.34,0.03,0.47
1690920752.940122,0.05,0.01,0.04,0.05,0.22,0.05,0.58
1690920753.242125,0.22,0.01,0.14,0.0,0.17,0.05,0.41
1690920753.547173,0.19,0.0,0.09,0.0,0.2,0.02,0.5
1690920753.854175,0.08,0.01,0.13,0.01,0.17,0.08,0.53
1690920754.158177,0.07,0.0,0.06,0.01,0.1,0.01,0.75
1690920754.45618,0.09,0.0,0.07,0.01,0.2,0.05,0.58
1690920754.753179,0.07,0.01,0.07,0.02,0.18,0.06,0.6
1690920755.050181,0.1,0.0,0.03,0.02,0.19,0.02,0.62
1690920755.346183,0.05,0.0,0.03,0.03,0.19,0.01,0.69
1690920755.653188,0.11,0.01,0.09,0.02,0.21,0.04,0.51
1690920755.958189,0.04,0.0,0.04,0.01,0.23,0.02,0.66
1690920756.269191,0.03,0.0,0.06,0.01,0.31,0.01,0.58
1690920756.574194,0.03,0.0,0.03,0.02,0.08,0.01,0.82
1690920756.884197,0.06,0.0,0.06,0.02,0.31,0.03,0.5
1690920757.2052,0.05,0.0,0.06,0.03,0.15,0.03,0.7
1690920757.516199,0.04,0.0,0.08,0.02,0.12,0.06,0.68
1690920757.822201,0.12,0.0,0.08,0.01,0.29,0.05,0.45
1690920758.157208,0.14,0.01,0.07,0.02,0.21,0.08,0.48
1690920758.479206,0.15,0.0,0.06,0.02,0.23,0.04,0.5
1690920758.813213,0.08,0.0,0.04,0.01,0.29,0.02,0.57
1690920759.118213,0.11,0.0,0.06,0.02,0.22,0.06,0.53
1690920759.447217,0.03,0.0,0.03,0.0,0.11,0.02,0.8
1690920759.762218,0.07,0.0,0.04,0.01,0.28,0.02,0.58
1690920760.097217,0.09,0.0,0.07,0.0,0.27,0.04,0.52
1690920760.42722,0.11,0.0,0.04,0.01,0.24,0.04,0.56
1690920760.741226,0.07,0.0,0.06,0.0,0.21,0.03,0.62
1690920761.059242,0.07,0.0,0.04,0.01,0.26,0.03,0.58
1690920761.35723,0.11,0.0,0.06,0.0,0.22,0.04,0.58
1690920761.665232,0.07,0.0,0.05,0.01,0.12,0.07,0.67
1690920761.962235,0.12,0.0,0.06,0.01,0.18,0.04,0.6
1690920762.272233,0.08,0.0,0.06,0.0,0.14,0.03,0.68
1690920762.573237,0.11,0.01,0.1,0.0,0.21,0.08,0.5
1690920762.865239,0.09,0.0,0.04,0.01,0.15,0.07,0.64
1690920763.154242,0.16,0.01,0.11,0.0,0.22,0.11,0.4
1690920763.444245,0.12,0.0,0.06,0.01,0.18,0.11,0.53
1690920763.756246,0.16,0.0,0.08,0.0,0.3,0.06,0.4
1690920764.03225,0.14,0.01,0.03,0.01,0.29,0.03,0.49
1690920764.323252,0.07,0.0,0.07,0.0,0.19,0.02,0.65
1690920764.629252,0.1,0.0,0.07,0.0,0.26,0.01,0.55
1690920764.944254,0.07,0.0,0.03,0.01,0.24,0.01,0.64
1690920765.233258,0.13,0.0,0.04,0.01,0.23,0.04,0.56
1690920765.532262,0.12,0.0,0.05,0.01,0.15,0.11,0.55
1690920765.832259,0.06,0.0,0.07,0.0,0.13,0.04,0.69
1690920766.133267,0.07,0.0,0.08,0.0,0.16,0.06,0.63
1690920766.426268,0.11,0.01,0.16,0.01,0.29,0.05,0.36
1690920766.71427,0.12,0.0,0.06,0.01,0.26,0.03,0.52
1690920767.008272,0.06,0.0,0.07,0.02,0.22,0.04,0.59
1690920767.308274,0.06,0.0,0.06,0.01,0.28,0.03,0.57
1690920767.587273,0.05,0.0,0.08,0.01,0.25,0.04,0.57
1690920767.904277,0.07,0.0,0.07,0.01,0.23,0.04,0.58
1690920768.193278,0.04,0.0,0.05,0.03,0.23,0.06,0.58
1690920768.514282,0.14,0.0,0.05,0.01,0.21,0.03,0.55
1690920768.834285,0.11,0.0,0.08,0.0,0.21,0.16,0.44
1690920769.138286,0.07,0.0,0.08,0.01,0.22,0.04,0.58
1690920769.411289,0.06,0.0,0.07,0.01,0.2,0.04,0.62
1690920769.70529,0.08,0.0,0.06,0.02,0.21,0.03,0.59
1690920770.00529,0.07,0.0,0.05,0.0,0.22,0.02,0.64
1690920770.309295,0.09,0.0,0.06,0.02,0.28,0.03,0.51
1690920770.621298,0.06,0.0,0.06,0.01,0.29,0.02,0.55
1690920770.944297,0.05,0.0,0.05,0.0,0.19,0.02,0.69
1690920771.262301,0.06,0.0,0.08,0.0,0.25,0.02,0.58
1690920771.585304,0.15,0.0,0.07,0.0,0.25,0.08,0.45
1690920771.896307,0.09,0.0,0.06,0.01,0.18,0.04,0.62
1690920772.20431,0.05,0.01,0.09,0.03,0.27,0.08,0.46
1690920772.497308,0.06,0.0,0.09,0.0,0.37,0.03,0.45
1690920772.78831,0.07,0.0,0.05,0.0,0.18,0.02,0.68
1690920773.111313,0.11,0.0,0.05,0.0,0.27,0.02,0.54
1690920773.401317,0.08,0.0,0.05,0.01,0.16,0.03,0.66
1690920773.663319,0.07,0.0,0.04,0.01,0.2,0.02,0.66
1690920773.941319,0.07,0.0,0.05,0.01,0.12,0.03,0.73
1690920774.204325,0.05,0.0,0.07,0.01,0.27,0.03,0.58
1690920774.481322,0.07,0.0,0.06,0.01,0.24,0.04,0.58
1690920774.764325,0.12,0.0,0.06,0.0,0.27,0.05,0.49
1690920775.028326,0.04,0.01,0.1,0.0,0.15,0.06,0.65
1690920775.304331,0.05,0.0,0.12,0.0,0.15,0.05,0.63
1690920775.588334,0.06,0.0,0.08,0.01,0.13,0.31,0.41
1690920775.849334,0.01,0.0,0.01,0.03,0.03,0.01,0.91
1690920776.126337,0.02,0.0,0.03,0.06,0.08,0.01,0.79
1690920776.40334,0.01,0.0,0.03,0.08,0.13,0.02,0.71
1690920776.691861,0.01,0.0,0.03,0.01,0.08,0.01,0.85
1690920776.963862,0.07,0.0,0.05,0.1,0.15,0.04,0.58
1690920777.246864,0.03,0.0,0.03,0.07,0.08,0.01,0.78
1690920777.555866,0.03,0.0,0.06,0.04,0.13,0.03,0.7
1690920777.868871,0.03,0.0,0.03,0.03,0.11,0.01,0.79
1690920778.178875,0.03,0.0,0.05,0.04,0.09,0.02,0.76
1690920778.501874,0.03,0.0,0.06,0.02,0.11,0.02,0.76
1690920778.789874,0.04,0.0,0.08,0.01,0.1,0.04,0.72
1690920779.055879,0.04,0.0,0.06,0.01,0.11,0.03,0.74
1690920779.320881,0.07,0.0,0.05,0.02,0.13,0.04,0.68
1690920779.587881,0.06,0.0,0.04,0.01,0.13,0.01,0.75
1690920779.849884,0.1,0.0,0.06,0.01,0.18,0.06,0.59
1690920780.117887,0.1,0.0,0.04,0.02,0.14,0.02,0.69
1690920780.384887,0.2,0.0,0.05,0.01,0.22,0.04,0.49
1690920780.647891,0.11,0.01,0.06,0.01,0.21,0.02,0.57
1690920780.927891,0.14,0.0,0.09,0.0,0.14,0.08,0.54
1690920781.185423,0.07,0.0,0.04,0.02,0.17,0.05,0.64
1690920781.448422,0.17,0.0,0.04,0.02,0.22,0.03,0.51
1690920781.699424,0.08,0.0,0.09,0.01,0.18,0.03,0.6
1690920781.952425,0.07,0.0,0.05,0.05,0.14,0.06,0.64
1690920782.199947,0.12,0.0,0.05,0.05,0.17,0.08,0.54
1690920782.476948,0.08,0.0,0.06,0.0,0.21,0.01,0.63
