timestamps,TP9,AF7,AF8,TP10,Right AUX
1691171862.019,-179.688,605.469,82.031,-112.305,0.000
1691171862.023,-182.129,-4.883,75.195,-107.422,0.000
1691171862.027,-146.973,175.293,38.086,-62.500,0.000
1691171862.030,-88.867,924.805,12.207,-26.367,0.000
1691171862.034,-53.223,704.590,23.926,-32.715,0.000
1691171862.038,-43.457,-18.066,43.457,-31.250,0.000
1691171862.042,-44.922,-146.484,44.922,-3.906,0.000
1691171862.046,-18.555,505.371,28.809,30.762,0.000
1691171862.050,-10.254,465.332,5.859,21.484,0.000
1691171862.054,-15.137,151.367,-10.254,4.883,0.000
1691171862.058,-12.207,-25.391,-22.949,13.672,0.000
1691171862.062,39.551,257.812,-26.367,53.711,0.000
1691171862.066,68.848,921.875,-29.785,90.820,0.000
1691171862.070,59.082,445.801,-44.922,66.895,0.000
1691171862.073,76.172,-469.238,-62.500,63.965,0.000
1691171862.077,63.477,-170.410,-64.453,95.703,0.000
1691171862.081,72.266,718.262,-62.500,93.750,0.000
1691171862.085,71.289,150.391,-77.148,83.496,0.000
1691171862.089,55.176,-672.363,-84.473,108.887,0.000
1691171862.093,91.797,-885.254,-77.148,121.582,0.000
1691171862.097,113.281,2.930,-86.914,109.863,0.000
1691171862.101,69.824,605.957,-105.469,83.496,0.000
1691171862.105,74.707,-304.688,-101.562,75.684,0.000
1691171862.109,98.633,-704.590,-87.891,86.914,0.000
1691171862.112,0.000,237.305,-87.402,107.910,0.000
1691171862.116,0.000,529.785,-91.309,116.699,0.000
1691171862.120,0.000,-506.836,-98.145,92.773,0.000
1691171862.124,0.000,-909.180,-102.539,89.844,0.000
1691171862.128,0.000,-255.859,-98.633,117.188,0.000
1691171862.132,0.000,260.254,-98.633,112.793,0.000
1691171862.136,0.000,-419.922,-105.469,78.613,0.000
1691171862.140,0.000,-948.730,-99.121,64.941,0.000
1691171862.144,0.000,-362.305,-89.844,84.473,0.000
1691171862.148,0.000,573.242,-90.820,96.680,0.000
1691171862.152,0.000,-35.645,-93.262,74.707,0.000
1691171862.155,0.000,-1000.000,-93.262,71.289,0.000
1691171862.159,56.152,-647.949,-99.609,78.125,0.000
1691171862.163,83.984,234.375,-88.867,102.051,0.000
1691171862.167,72.266,91.309,-72.266,109.863,0.000
1691171862.171,62.012,-686.035,-75.684,62.012,0.000
1691171862.175,51.758,-829.102,-76.172,33.203,0.000
1691171862.179,65.918,-248.535,-70.801,59.082,0.000
1691171862.183,90.332,-293.945,-74.707,77.148,0.000
1691171862.187,54.199,-952.148,-81.543,61.523,0.000
1691171862.191,46.875,-825.684,-77.148,33.203,0.000
1691171862.194,69.336,-318.359,-62.988,75.195,0.000
1691171862.198,47.363,203.613,-60.059,76.172,0.000
1691171862.202,13.184,-180.664,-65.918,38.574,0.000
1691171862.206,14.648,-766.602,-66.895,44.434,0.000
1691171862.210,36.133,-799.805,-62.012,42.969,0.000
1691171862.214,62.012,5.371,-59.570,40.527,0.000
1691171862.218,36.133,62.988,-57.129,24.414,0.000
1691171862.222,7.812,-695.801,-60.059,9.277,0.000
1691171862.226,14.648,-1000.000,-62.012,22.461,0.000
1691171862.230,7.324,-586.914,-43.945,41.016,0.000
1691171862.234,-6.348,65.430,-46.875,18.555,0.000
1691171862.237,-7.812,-583.496,-62.500,3.906,0.000
1691171862.241,16.113,-1000.000,-62.500,-9.766,0.000
1691171862.245,17.090,-337.402,-48.340,10.742,0.000
1691171862.249,-4.883,355.469,-40.527,22.949,0.000
1691171862.253,-8.789,-395.508,-50.781,-7.812,0.000
1691171862.257,-11.719,-1000.000,-52.246,7.812,0.000
1691171862.261,-14.648,-545.410,-44.922,21.484,0.000
