Timestamp,Left Pupil,Right Pupil
15:01:45.692017,"(185, 167)","(253, 165)"
15:01:45.881754,"(184, 166)","(253, 164)"
15:01:45.978710,"(189, 166)","(256, 164)"
15:01:46.089963,"(189, 165)","(257, 163)"
15:01:46.196643,"(189, 165)","(257, 163)"
15:01:46.290722,"(189, 165)","(257, 163)"
15:01:46.384277,"(189, 165)","(257, 163)"
15:01:46.479477,"(192, 161)","(260, 161)"
15:01:46.588062,"(192, 161)","(263, 155)"
15:01:46.679655,"(193, 162)","(261, 160)"
15:01:46.773998,"(194, 162)","(262, 159)"
15:01:46.870135,"(194, 162)","(262, 159)"
15:01:46.975254,"(186, 162)","(254, 162)"
15:01:47.086618,"(185, 162)","(254, 161)"
15:01:47.193872,"(186, 163)","(254, 162)"
15:01:47.303495,"(186, 163)","(254, 162)"
15:01:47.417708,"(186, 164)","(255, 162)"
15:01:47.522781,"(186, 164)","(254, 162)"
15:01:47.631906,"(185, 165)","(254, 163)"
15:01:47.723715,"(186, 166)","(254, 163)"
15:01:47.832276,"(186, 166)","(255, 163)"
15:01:47.940657,"(186, 165)","(254, 163)"
15:01:48.050422,"(186, 157)","(254, 160)"
15:01:48.156333,"(186, 157)","(254, 158)"
15:01:48.265019,"(186, 157)","(254, 158)"
15:01:48.373609,"(186, 161)","(254, 160)"
15:01:48.485287,"(186, 164)","(255, 162)"
15:01:48.594153,"(186, 164)","(255, 162)"
15:01:48.698775,"(184, 164)","(254, 162)"
15:01:48.789945,"(184, 164)","(254, 162)"
15:01:48.900913,"(185, 164)","(255, 162)"
15:01:49.010653,"(186, 164)","(255, 162)"
15:01:49.102964,"(187, 164)","(255, 163)"
15:01:49.194015,"(187, 164)","(255, 162)"
15:01:49.288707,"(186, 165)","(255, 163)"
15:01:49.397005,"(186, 164)","(254, 162)"
15:01:49.507732,"(185, 166)","(253, 164)"
15:01:49.634805,"(185, 167)","(253, 165)"
15:01:49.739009,"(184, 167)","(253, 165)"
15:01:49.855078,"(185, 168)","(253, 166)"
15:01:49.977244,"(185, 168)","(254, 166)"
15:01:50.086068,"(185, 167)","(254, 166)"
15:01:50.189709,"(185, 168)","(254, 166)"
15:01:50.290696,"(185, 168)","(253, 166)"
15:01:50.407867,"(184, 169)","(253, 167)"
15:01:50.514342,"(184, 168)","(252, 167)"
15:01:50.630409,"(184, 168)","(252, 166)"
15:01:50.735380,"(184, 167)","(253, 166)"
15:01:50.841127,"(184, 165)","(252, 163)"
15:01:50.939982,"(184, 164)","(252, 163)"
15:01:51.045543,"(183, 164)","(252, 163)"
15:01:51.151009,"(183, 164)","(252, 163)"
15:01:51.266068,"(183, 165)","(252, 164)"
15:01:51.369624,"(184, 165)","(251, 163)"
15:01:51.481892,"(184, 165)","(252, 163)"
15:01:51.600934,"(183, 166)","(252, 164)"
15:01:51.716477,"(182, 166)","(251, 164)"
15:01:51.816848,"(182, 167)","(251, 165)"
15:01:51.928072,"(182, 167)","(251, 165)"
15:01:52.038087,"(182, 166)","(251, 165)"
15:01:52.141020,"(182, 167)","(251, 165)"
15:01:52.248633,"(181, 166)","(250, 164)"
15:01:52.363868,"(183, 167)","(251, 165)"
15:01:52.466094,"(182, 167)","(251, 165)"
15:01:52.576113,"(181, 166)","(250, 164)"
15:01:52.672143,"(181, 166)","(250, 164)"
15:01:52.782492,"(182, 166)","(251, 164)"
15:01:52.886371,"(182, 165)","(251, 163)"
15:01:52.994059,"(183, 165)","(252, 163)"
15:01:53.118817,"(182, 163)","(251, 162)"
15:01:53.232735,"(182, 163)","(251, 163)"
15:01:53.357108,"(183, 161)","(251, 163)"
15:01:53.481941,,
15:01:53.585065,,
15:01:53.689022,"(182, 162)","(249, 163)"
15:01:53.795780,,
15:01:53.902531,,
15:01:54.018719,"(182, 164)","(252, 163)"
15:01:54.121734,"(182, 163)","(251, 163)"
15:01:54.217827,"(182, 163)","(251, 163)"
15:01:54.327286,"(182, 162)","(251, 163)"
15:01:54.433478,"(181, 160)","(251, 162)"
15:01:54.543725,"(181, 159)","(250, 161)"
15:01:54.664581,"(179, 158)","(248, 161)"
15:01:54.794666,"(180, 158)","(247, 160)"
15:01:54.928866,"(177, 159)","(248, 162)"
15:01:55.055714,"(177, 159)","(247, 161)"
15:01:55.175546,"(178, 161)","(248, 161)"
15:01:55.285799,,
15:01:55.414563,,
15:01:55.534511,"(183, 165)","(251, 162)"
15:01:55.640928,"(182, 165)","(250, 163)"
15:01:55.787713,"(180, 165)","(249, 162)"
15:01:55.905542,"(179, 166)","(249, 163)"
15:01:56.024473,"(181, 166)","(249, 164)"
15:01:56.142124,"(181, 166)","(249, 164)"
15:01:56.262821,"(182, 167)","(250, 165)"
15:01:56.384923,"(182, 167)","(250, 165)"
15:01:56.505946,"(182, 168)","(250, 166)"
15:01:56.649683,"(181, 167)","(250, 165)"
15:01:56.776805,"(181, 166)","(250, 164)"
15:01:56.897840,"(180, 165)","(249, 163)"
15:01:57.034691,"(180, 165)","(249, 164)"
15:01:57.174170,"(179, 165)","(248, 164)"
15:01:57.321154,"(180, 165)","(248, 164)"
15:01:57.453852,"(180, 165)","(249, 163)"
15:01:57.592996,"(180, 165)","(249, 163)"
15:01:57.731662,"(180, 164)","(249, 163)"
15:01:57.855471,"(180, 165)","(249, 163)"
15:01:57.983526,"(180, 165)","(249, 163)"
15:01:58.109985,"(181, 165)","(249, 163)"
15:01:58.231958,"(180, 164)","(249, 163)"
15:01:58.359086,"(180, 164)","(249, 163)"
15:01:58.489095,"(180, 165)","(249, 163)"
15:01:58.613833,"(180, 165)","(249, 163)"
15:01:58.740350,"(180, 164)","(249, 163)"
15:01:58.859400,,
15:01:58.972512,,
15:01:59.095993,"(180, 166)","(249, 164)"
15:01:59.220423,"(180, 165)","(249, 164)"
15:01:59.327881,"(180, 165)","(249, 164)"
15:01:59.439409,"(180, 165)","(249, 163)"
15:01:59.555856,"(180, 165)","(249, 163)"
15:01:59.668869,"(179, 165)","(249, 164)"
