Timestamp,Mouse Position,Input,Type
"04/08/2023, 15:25:27.36","Point(x=1756, y=603)",Button.left,Mouse Click
"04/08/2023, 15:25:27.46","Point(x=1756, y=603)",Button.left,Mouse Click
"04/08/2023, 15:25:27.73","Point(x=1280, y=720)",Key.alt_l,Key Press
"04/08/2023, 15:25:27.77","Point(x=1280, y=720)",Key.tab,Key Press
"04/08/2023, 15:25:28.69","Point(x=1169, y=586)",Button.left,Mouse Click
"04/08/2023, 15:25:28.80","Point(x=1169, y=585)",Button.left,Mouse Click
"04/08/2023, 15:25:30.25","Point(x=1536, y=1414)",Button.left,Mouse Click
"04/08/2023, 15:25:30.31","Point(x=1536, y=1414)",Button.left,Mouse Click
"04/08/2023, 15:25:33.42","Point(x=1797, y=797)",Button.left,Mouse Click
"04/08/2023, 15:25:33.58","Point(x=1797, y=797)",Button.left,Mouse Click
"04/08/2023, 15:25:34.39","Point(x=2066, y=787)",Button.left,Mouse Click
"04/08/2023, 15:25:34.51","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:35.33","Point(x=1280, y=720)",'v',Key Press
"04/08/2023, 15:25:41.14","Point(x=1280, y=720)",'3',Key Press
"04/08/2023, 15:25:41.28","Point(x=1280, y=720)",'2',Key Press
"04/08/2023, 15:25:43.38","Point(x=1283, y=720)",'w',Key Press
"04/08/2023, 15:25:43.89","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:43.93","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:43.96","Point(x=1281, y=720)",'w',Key Press
"04/08/2023, 15:25:43.99","Point(x=1284, y=720)",'w',Key Press
"04/08/2023, 15:25:44.02","Point(x=1282, y=720)",'w',Key Press
"04/08/2023, 15:25:44.05","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:44.10","Point(x=1283, y=720)",'w',Key Press
"04/08/2023, 15:25:44.13","Point(x=1285, y=720)",'w',Key Press
"04/08/2023, 15:25:44.16","Point(x=1282, y=720)",'w',Key Press
"04/08/2023, 15:25:44.19","Point(x=1290, y=721)",'w',Key Press
"04/08/2023, 15:25:44.22","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:44.25","Point(x=1294, y=721)",'w',Key Press
"04/08/2023, 15:25:44.28","Point(x=1286, y=720)",'w',Key Press
"04/08/2023, 15:25:44.31","Point(x=1281, y=720)",'w',Key Press
"04/08/2023, 15:25:44.36","Point(x=1283, y=720)",'w',Key Press
"04/08/2023, 15:25:44.39","Point(x=1282, y=719)",'w',Key Press
"04/08/2023, 15:25:44.42","Point(x=1282, y=720)",'w',Key Press
"04/08/2023, 15:25:44.45","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:44.48","Point(x=1281, y=720)",'w',Key Press
"04/08/2023, 15:25:44.51","Point(x=1281, y=720)",'w',Key Press
"04/08/2023, 15:25:44.54","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:44.59","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:44.62","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:44.63","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:45.17","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:45.68","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:46.06","Point(x=1276, y=720)",'w',Key Press
"04/08/2023, 15:25:46.76","Point(x=1279, y=720)",'a',Key Press
"04/08/2023, 15:25:46.84","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:47.08","Point(x=1280, y=721)",'a',Key Press
"04/08/2023, 15:25:47.45","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:47.48","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:47.57","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:47.80","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:47.91","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:48.06","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:48.11","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:48.21","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:48.45","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:48.55","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:48.76","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:48.85","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:49.06","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:49.13","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:49.17","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:49.35","Point(x=1279, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:49.45","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:49.57","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:49.62","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:49.72","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:49.74","Point(x=1280, y=720)",'a',Key Press
"04/08/2023, 15:25:49.93","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:50.03","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:50.20","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:50.32","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:50.54","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:50.63","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:50.81","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:50.84","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:50.92","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:51.04","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:51.19","Point(x=1280, y=720)",'r',Key Press
"04/08/2023, 15:25:51.46","Point(x=1277, y=720)",'d',Key Press
"04/08/2023, 15:25:52.69","Point(x=1280, y=720)",'a',Key Press
"04/08/2023, 15:25:53.04","Point(x=1290, y=718)",'d',Key Press
"04/08/2023, 15:25:53.13","Point(x=1283, y=720)",'a',Key Press
"04/08/2023, 15:25:53.59","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:53.92","Point(x=1280, y=721)",Button.left,Mouse Click
"04/08/2023, 15:25:54.04","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:54.09","Point(x=1280, y=720)",'a',Key Press
"04/08/2023, 15:25:54.21","Point(x=1279, y=720)",'d',Key Press
"04/08/2023, 15:25:54.24","Point(x=1279, y=721)",Button.left,Mouse Click
"04/08/2023, 15:25:54.34","Point(x=1280, y=720)",'a',Key Press
"04/08/2023, 15:25:54.35","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:54.53","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:54.63","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:54.63","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:54.87","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:55.01","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:55.17","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:55.29","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:55.44","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:55.56","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:55.77","Point(x=1280, y=721)",Button.left,Mouse Click
"04/08/2023, 15:25:55.87","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:56.04","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:56.14","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:56.30","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:56.40","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:56.53","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:56.64","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:56.86","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:56.96","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:57.12","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:57.24","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:57.35","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:57.45","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:57.85","Point(x=1280, y=720)",'a',Key Press
"04/08/2023, 15:25:58.02","Point(x=1280, y=720)",'w',Key Press
"04/08/2023, 15:25:58.31","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:58.81","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:58.84","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:59.15","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:59.20","Point(x=1280, y=720)",'d',Key Press
"04/08/2023, 15:25:59.27","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:59.44","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:59.56","Point(x=1278, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:59.68","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:59.82","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:25:59.97","Point(x=1280, y=720)",Button.left,Mouse Click
"04/08/2023, 15:26:00.06","Point(x=1280, y=720)",'d',Key Press
