adjusted timestamps,timestamps,TP9,AF7,AF8,TP10,Right AUX
2023/07/18 15:40:23.756,1689709223.756000000,-72.266,104.492,-503.418,-78.613,0
2023/07/18 15:40:23.760,1689709223.760000000,-0.488,54.688,-469.238,-52.734,0
2023/07/18 15:40:23.763,1689709223.763000000,170.898,-19.531,-429.199,-7.812,0
2023/07/18 15:40:23.767,1689709223.767000000,133.789,-34.18,-442.383,-16.602,0
2023/07/18 15:40:23.771,1689709223.771000000,-35.645,-36.133,-507.324,-88.867,0
2023/07/18 15:40:23.775,1689709223.775000000,-19.531,-42.48,-511.719,-86.914,0
2023/07/18 15:40:23.779,1689709223.779000000,152.344,-56.641,-585.449,19.531,0
2023/07/18 15:40:23.783,1689709223.783000000,200.195,-57.129,-593.75,43.457,0
2023/07/18 15:40:23.787,1689709223.787000000,56.641,-28.32,-407.715,-65.43,0
2023/07/18 15:40:23.791,1689709223.791000000,1.465,-36.621,-454.102,-101.074,0
2023/07/18 15:40:23.795,1689709223.795000000,181.152,-57.129,-413.086,22.949,0
2023/07/18 15:40:23.798,1689709223.798000000,337.402,-55.664,-316.895,117.188,0
2023/07/18 15:40:23.803,1689709223.803000000,0,-41.992,-365.234,-21.973,0
2023/07/18 15:40:23.807,1689709223.807000000,0,-38.574,-423.34,-146.484,0
2023/07/18 15:40:23.810,1689709223.810000000,0,-49.805,-388.672,-39.062,0
2023/07/18 15:40:23.814,1689709223.814000000,0,-44.922,-252.93,48.828,0
2023/07/18 15:40:23.818,1689709223.818000000,0,-39.551,-293.457,13.672,0
2023/07/18 15:40:23.822,1689709223.822000000,0,-38.574,-504.395,-88.379,0
2023/07/18 15:40:23.826,1689709223.826000000,0,-49.805,-561.523,-62.012,0
2023/07/18 15:40:23.830,1689709223.830000000,0,-29.785,-343.75,33.203,0
2023/07/18 15:40:23.834,1689709223.834000000,0,-2.441,-255.859,-7.812,0
2023/07/18 15:40:23.838,1689709223.838000000,0,-20.996,-444.336,-89.355,0
2023/07/18 15:40:23.842,1689709223.842000000,0,-20.02,-480.469,-59.082,0
2023/07/18 15:40:23.845,1689709223.845000000,0,-2.93,-283.691,27.344,0
2023/07/18 15:40:23.850,1689709223.850000000,247.559,0.488,-282.715,27.344,0
2023/07/18 15:40:23.854,1689709223.854000000,80.078,20.996,-397.461,-0.977,0
2023/07/18 15:40:23.857,1689709223.857000000,1.465,65.43,-424.316,-62.988,0
2023/07/18 15:40:23.861,1689709223.861000000,159.18,67.871,-335.938,-5.859,0
2023/07/18 15:40:23.865,1689709223.865000000,299.805,10.742,-332.52,33.203,0
2023/07/18 15:40:23.869,1689709223.869000000,172.363,-28.32,-464.355,-47.852,0
2023/07/18 15:40:23.873,1689709223.873000000,45.898,-31.25,-474.121,-31.25,0
2023/07/18 15:40:23.877,1689709223.877000000,156.25,-12.207,-436.523,37.598,0
2023/07/18 15:40:23.881,1689709223.881000000,263.672,-0.488,-373.047,34.18,0
2023/07/18 15:40:23.885,1689709223.885000000,162.598,-16.113,-530.273,13.672,0
2023/07/18 15:40:23.889,1689709223.889000000,-20.508,-17.09,-577.148,-74.707,0
2023/07/18 15:40:23.892,1689709223.892000000,-3.418,-0.488,-383.301,-108.398,0
